text_id,text,speaker,party,date,agenda,cap_topic
48356,I suspect that the same would not be true if the Chinooks descended upon my hon.,James Arbuthnot,Con,29/01/2009,Armed Forces Personnel,16
79956,I should be delighted to send the hon.,Geoff Hoon,Lab,12/02/2009,New Trains (Investment),10
161430,"It is for that reason that I hope Members will wholeheartedly give the Bill a Third Reading, and I commend it to the House.",Bridget Prentice,Lab,24/03/2009,Coroners and Justice Bill,3
206618,Member for Sevenoaks (Mr. Fallon) made his usual robust speech.,Angela Eagle,Lab,23/04/2009,Amendment of the law,99
234218,"I missed some of the speeches that followed the opening of the debate, but I am afraid that I was receiving the award of an Industry and Parliament Trust fellowship- I am grateful for the approbation of the House, and I commend the organisation heartily.",Peter Luff,Con,06/05/2009,Finance Bill,99
267318,The definition of an offence“of a violent or sexual nature”may be too vague.,Alan Campbell,Lab,19/05/2009,Policing and Crime Bill,12
305800,My hon.,Russell Brown,Lab,10/06/2009,Dissolution of Parliament,99
314369,"Obviously, the inquiry will look at the events from 2001 onwards.",Gordon Brown,Lab,15/06/2009,Iraq,19
319219,Will the hon.,Tobias Ellwood,Con,16/06/2009,European Affairs,99
319659,"Members read the speeches of Václav Klaus of the Czech Republic, they will see that he speaks exactly the same language.",Bill Cash,Con,16/06/2009,European Affairs,19
387222,The Member for Huntingdon (Mr. Djanogly) raised a few canards earlier.,Gordon Prentice,Lab,13/07/2009,Political Parties and Elections Bill,20
409199,Member for Canterbury (Mr. Brazier) is one of the hon.,Paul Burstow,LibDem,21/07/2009,Summer Recess Adjournment,99
464270,The hon.,Bridget Prentice,Lab,02/11/2009,Perpetuities and Accumulations Bill [Lords],99
527253,"I will, but only this once.",Gisela Stuart,Lab,03/12/2009,European Affairs,19
592796,I told John Humphrys-I think that was the interviewer-that I had some sympathy with the report's logic.,Tony McNulty,Lab,18/01/2010,Crime and Security Bill,12
640517,That was a little aside.,Anthony Steen,Con,05/02/2010,Anti-Slavery Day Bill,99
666543,As the hon.,Ian Pearson,Lab,24/02/2010,Property Taxation,99
673041,Does the hon.,Christopher Chope,Con,26/02/2010,Lisbon Treaty (Referendum) Bill,99
703976,Far be it from us in the House of Commons to challenge the wisdom of magical software-even though I spent 20 years in the industry!,Adam Afriyie,Con,11/03/2010,Sustainable Communities,14
707965,If the hon.,Nick Harvey,LibDem,15/03/2010,Defence in the World,99
730423,Pitiful.,David Cameron,Con,24/03/2010,Budget Resolutions and Economic Situation,99
842143,Members.,David Heath,LibDem,01/07/2010,Business of the House,99
989800,"I know that Labour Members do not like the answer that we are sticking to our plans, but we are sticking to our plans.",David Cameron,Con,27/10/2010,Engagements [Oral Answers to Questions > Prime Minister],99
1002569,"Once again, I congratulate the hon.",Peter Luff,Con,01/11/2010,Aircraft Carriers,99
1050109,"On happiness, my hon.",George Young,Con,18/11/2010,Business of the House,99
1055978,"Friend the Member for Torbay (Mr Sanders), which is headed “Impact of Spending Cuts on Seaside Resort Economies”.",Bob Russell,LibDem,19/11/2010,Holidays (Low-income Families),1
1080538,As my hon.,Michael Dugher,Lab,30/11/2010,Local Government Funding,99
1203673,I believe that we have a kind of common sense.,Kelvin Hopkins,Lab,02/02/2011,Court of Auditors 2009 Report,1
1208744,"I think that Members on both sides of the House regret the decisions that are having to be taken, but it is incumbent on Ministers and Members on this side to come forward with solutions.",Tom Brake,LibDem,03/02/2011,Legal Aid Reform,12
1217331,"Conservative Members cheer him, but will they still be cheering in a moment?",Andy Burnham,Lab,08/02/2011,Education Bill,6
1244416,"It may have been something I agreed with, but it meant that that issue festered for another decade.",Mark Harper,Con,16/02/2011,Parliamentary Voting System and Constituencies Bill,20
1294115,Friend the Member for Colne Valley (Jason McCartney) has donated blood himself.,Anne Milton,Con,15/03/2011,National Blood Service,3
1309196,It is not a blank cheque.,Diane Abbott,Lab,21/03/2011,United Nations Security Council Resolution 1973,19
1341655,That may be the source of the hon.,Theresa Villiers,Con,31/03/2011,High-Speed Rail,10
1367939,Members� questions.,David Cameron,Con,03/05/2011,,99
