id,text,split_,text_id,metadata__year,metadata__party,label
133835,"Our sports policy will aim to inculcate in our citizens, especially students and youth, the culture of sports and fitness and will encourage sports as a career .",0,1030,2019,INC,Pledge
133836,Congress promises to work with industry to increase the expenditure on science and technology to 2 per cent of GDP .,0,406,2019,INC,Pledge
133837,We will recognise the 11 left out Indian Gorkha sub - tribes as Schedule Tribes .,0,574,2019,BJP,Pledge
133838,"A national programme will be launched, in cooperation with State Governments, to provide bicycles to girls from Below Poverty Line Families who attend school .",0,502,2009,BJP,Pledge
133839,Encouraging the production of cereals and discouraging the conversion of fertile farm land for dubious industrial projects .,0,228,2009,BJP,Pledge
133840,The number of courts and the number of judges will be doubled in five years for quicker judicial process .,0,773,2004,BJP,Pledge
133841,The Ministry of Finance will be directed to provide all required resources to implement this program in a time - bound manner .,0,323,2004,BJP,Not Pledge
133842,We will restrict foreign equity holding in private television broadcasting to 20% (and prevent cross holding to avoid emergence of monopolies in the media) .,0,185,1999,BJP,Pledge
133843,"India’s indigenous thorium technology programme will be expedited and given all financial assistance, correcting the grievous wrong done by the UPA Government .",0,197,2009,BJP,Pledge
133844,Small industry will be particularly encouraged in states and regions where the potential for large or heavy industry is limited .,0,212,1999,INC,Pledge
133845,This will promote competition and enhance efficiency in procurement processes .,0,681,2014,INC,Pledge
133846,The Planning Commission will be reformed and reorganized in light of the changing developmental needs of our country .,0,799,2004,BJP,Pledge
133847,"The Total Sanitation Campaign, launched by the NDA Government in 1999, has been a remarkable success .",0,218,2004,BJP,Not Pledge
133848,"It will enable industry to access agriculture produce directly from farmers, and suggest ways to step up exports, including to organized retail outlets abroad .",0,148,2004,BJP,Pledge
133849,The emphasis in all foreign investment policies will be maximization of local value - addition and export potential .,0,331,2009,INC,Not Pledge
133850,Involve the state Governments in the promotion of foreign trade and commerce .,0,92,2014,BJP,Pledge
133851,"Immediately after forming the governments in Chhattisgarh, Madhya Pradesh and Rajasthan, as promised, the 3 Congress Governments waived the loans of farmers .",0,207,2019,INC,Not Pledge
133852,"We will introduce the goods and services tax from April 1, 2010 .",0,335,2009,INC,Pledge
133853,"Every consumer of electricity in India, including farmers, would be connected through digital, tamper - proof meters in the next three years .",0,336,2004,BJP,Pledge
133854,"Highest priority would be given to address the acute shortage of teachers and researchers, quality of education and research, and also the employability factor associated with most of the courses .",0,490,2014,BJP,Not Pledge
133855,The Indian National Congress has endeavoured to provide quality public health services to all citizens .,0,288,2014,INC,Not Pledge
133856,"They are, in fact, responsible for the electoral growth of the BJP .",0,62,2009,INC,Not Pledge
133857,A raw material use policy will be unveiled in the mines sector .,0,370,2004,BJP,Pledge
133858,More specialist battalions will be raised and positioned in key locations across the country .,0,181,2009,INC,Pledge
133859,The Congress will identify those environmental management functions that could be delegated to the states and local bodies .,0,718,1999,INC,Pledge
133860,"The India of tomorrow will have 125 crore such dreams, and will be built on the same .",0,279,2014,BJP,Not Pledge
133861,These institutions would provide four - year integrated courses that would set the standards for quality teachers in our schools .,0,469,2019,BJP,Pledge
133862,A detailed roadmap for accomplishing this will be unveiled within 30 days of coming to power so that a national consensus is also created .,0,398,2004,INC,
133863,"Along with vastly expanded credit facilities for self - employment, the services industry will be given all support to fulfill its true employment potential .",0,189,2004,INC,Pledge
133864,"Art, culture and heritage constitute the identity of a people .",0,515,2019,INC,Not Pledge
133865,"Make potable drinking water available to all thus reducing water - borne diseases, which will automatically translate into Diarrhoea - free India .",0,587,2014,BJP,Pledge
133866,"Faced by this aggression in Kargil, the response of the Government was swift, though measured .",0,9,1999,BJP,Not Pledge
133867,Targeting time spent for tax compliance at 1 hour per month .,0,227,2019,BJP,Pledge
133868,We will also motivate States to replicate this model as it is our firm belief that quality teachers lay the foundation of quality learning .,0,470,2019,BJP,Pledge
133869,We will extensively use technology to ensure a better knowledge of the market prices of various agro - products for the benefit of farmers .,0,140,2019,BJP,Pledge
133870,This is the moment to consolidate all forces subscribing to the fundamental values of our Constitution .,0,17,2004,INC,Not Pledge
133871,Antyodaya cards for all households at risk of hunger will be introduced .,0,287,2004,INC,Pledge
133872,"In consonance with its policy, the BJP supports the creation of Telangana as a separate State of the Union of India .",0,687,2009,BJP,Pledge
133873,Article 370 poses a psychological barrier for the full integration of the people of Jammu & Kashmir with the national mainstream .,0,682,2009,BJP,Not Pledge
133874,Reservations for the poor among ‘Forward Classes’ will be introduced after receiving recommendations of the Commission set up for this purpose .,0,604,2004,BJP,Pledge
133875,"4 lakh crores in lost output, lakhs of jobs and greater indebtedness .",0,58,2019,INC,Not Pledge
133876,11 . We will strengthen the legal and institutional framework to protect our children .,0,168,2014,INC,Pledge
133877,Joint projects in the energy sector will be actively explored .,0,938,1999,INC,Pledge
133878,a . We will ensure the passage of the Women’s Reservation Bill .,0,160,2014,INC,Pledge
133879,"The Rs . 1,000 - crore Sampoorna Grameen Rozgar Yojana, started by our Government, is the biggest food for - work program since Independence .",0,42,2004,BJP,Not Pledge
133880,"While the bulk of our population still lives and works in villages, India is rapidly urbanizing .",0,343,2009,INC,Not Pledge
133881,"New middle - level technical institutes in clusters where, for example, weavers and artisans are concentrated, will be started .",0,423,1999,INC,Pledge
133882,"In the last 5 years under the BJP Government, hate crimes and atrocities against the minorities and other vulnerable sections of the people have increased manifold .",0,788,2019,INC,Not Pledge
133883,This shall be responsible for setting and enforcing standards for all food products .,0,157,2004,BJP,Not Pledge
133884,We will also introduce a multi - purpose identity card for all citizens .,0,144,1999,BJP,Pledge
