text_id,text,label,metadata__party,metadata__year,split_
1030,"Our sports policy will aim to inculcate in our citizens, especially students and youth, the culture of sports and fitness and will encourage sports as a career .",0,INC,2019,0
406,Congress promises to work with industry to increase the expenditure on science and technology to 2 per cent of GDP .,1,INC,2019,0
574,We will recognise the 11 left out Indian Gorkha sub - tribes as Schedule Tribes .,1,BJP,2019,0
502,"A national programme will be launched, in cooperation with State Governments, to provide bicycles to girls from Below Poverty Line Families who attend school .",1,BJP,2009,0
228,Encouraging the production of cereals and discouraging the conversion of fertile farm land for dubious industrial projects .,0,BJP,2009,0
773,The number of courts and the number of judges will be doubled in five years for quicker judicial process .,1,BJP,2004,0
323,The Ministry of Finance will be directed to provide all required resources to implement this program in a time - bound manner .,1,BJP,2004,0
185,We will restrict foreign equity holding in private television broadcasting to 20% (and prevent cross holding to avoid emergence of monopolies in the media) .,1,BJP,1999,0
197,"India’s indigenous thorium technology programme will be expedited and given all financial assistance, correcting the grievous wrong done by the UPA Government .",1,BJP,2009,0
212,Small industry will be particularly encouraged in states and regions where the potential for large or heavy industry is limited .,0,INC,1999,0
681,This will promote competition and enhance efficiency in procurement processes .,0,INC,2014,0
799,The Planning Commission will be reformed and reorganized in light of the changing developmental needs of our country .,0,BJP,2004,0
218,"The Total Sanitation Campaign, launched by the NDA Government in 1999, has been a remarkable success .",1,BJP,2004,0
148,"It will enable industry to access agriculture produce directly from farmers, and suggest ways to step up exports, including to organized retail outlets abroad .",0,BJP,2004,0
331,The emphasis in all foreign investment policies will be maximization of local value - addition and export potential .,0,INC,2009,0
92,Involve the state Governments in the promotion of foreign trade and commerce .,0,BJP,2014,0
207,"Immediately after forming the governments in Chhattisgarh, Madhya Pradesh and Rajasthan, as promised, the 3 Congress Governments waived the loans of farmers .",1,INC,2019,0
335,"We will introduce the goods and services tax from April 1, 2010 .",1,INC,2009,0
336,"Every consumer of electricity in India, including farmers, would be connected through digital, tamper - proof meters in the next three years .",1,BJP,2004,0
490,"Highest priority would be given to address the acute shortage of teachers and researchers, quality of education and research, and also the employability factor associated with most of the courses .",0,BJP,2014,0
288,The Indian National Congress has endeavoured to provide quality public health services to all citizens .,0,INC,2014,0
62,"They are, in fact, responsible for the electoral growth of the BJP .",0,INC,2009,0
370,A raw material use policy will be unveiled in the mines sector .,0,BJP,2004,0
181,More specialist battalions will be raised and positioned in key locations across the country .,1,INC,2009,0
718,The Congress will identify those environmental management functions that could be delegated to the states and local bodies .,1,INC,1999,0
279,"The India of tomorrow will have 125 crore such dreams, and will be built on the same .",0,BJP,2014,0
469,These institutions would provide four - year integrated courses that would set the standards for quality teachers in our schools .,1,BJP,2019,0
398,A detailed roadmap for accomplishing this will be unveiled within 30 days of coming to power so that a national consensus is also created .,1,INC,2004,0
189,"Along with vastly expanded credit facilities for self - employment, the services industry will be given all support to fulfill its true employment potential .",1,INC,2004,0
515,"Art, culture and heritage constitute the identity of a people .",0,INC,2019,0
587,"Make potable drinking water available to all thus reducing water - borne diseases, which will automatically translate into Diarrhoea - free India .",1,BJP,2014,0
9,"Faced by this aggression in Kargil, the response of the Government was swift, though measured .",0,BJP,1999,0
227,Targeting time spent for tax compliance at 1 hour per month .,1,BJP,2019,0
470,We will also motivate States to replicate this model as it is our firm belief that quality teachers lay the foundation of quality learning .,0,BJP,2019,0
140,We will extensively use technology to ensure a better knowledge of the market prices of various agro - products for the benefit of farmers .,0,BJP,2019,0
17,This is the moment to consolidate all forces subscribing to the fundamental values of our Constitution .,0,INC,2004,0
287,Antyodaya cards for all households at risk of hunger will be introduced .,1,INC,2004,0
687,"In consonance with its policy, the BJP supports the creation of Telangana as a separate State of the Union of India .",1,BJP,2009,0
682,Article 370 poses a psychological barrier for the full integration of the people of Jammu & Kashmir with the national mainstream .,0,BJP,2009,0
604,Reservations for the poor among ‘Forward Classes’ will be introduced after receiving recommendations of the Commission set up for this purpose .,1,BJP,2004,0
58,"4 lakh crores in lost output, lakhs of jobs and greater indebtedness .",0,INC,2019,0
168,11 . We will strengthen the legal and institutional framework to protect our children .,0,INC,2014,0
938,Joint projects in the energy sector will be actively explored .,0,INC,1999,0
160,a . We will ensure the passage of the Women’s Reservation Bill .,1,INC,2014,0
42,"The Rs . 1,000 - crore Sampoorna Grameen Rozgar Yojana, started by our Government, is the biggest food for - work program since Independence .",0,BJP,2004,0
343,"While the bulk of our population still lives and works in villages, India is rapidly urbanizing .",0,INC,2009,0
423,"New middle - level technical institutes in clusters where, for example, weavers and artisans are concentrated, will be started .",1,INC,1999,0
788,"In the last 5 years under the BJP Government, hate crimes and atrocities against the minorities and other vulnerable sections of the people have increased manifold .",0,INC,2019,0
157,This shall be responsible for setting and enforcing standards for all food products .,1,BJP,2004,0
144,We will also introduce a multi - purpose identity card for all citizens .,1,BJP,1999,0
