text,label,text_id,metadata__party,metadata__year,split_
"Faced by this aggression in Kargil, the response of the Government was swift, though measured .",No Pledge,9,BJP,1999,0
This is the moment to consolidate all forces subscribing to the fundamental values of our Constitution .,No Pledge,17,INC,2004,0
"The Rs . 1,000 - crore Sampoorna Grameen Rozgar Yojana, started by our Government, is the biggest food for - work program since Independence .",No Pledge,42,BJP,2004,0
"4 lakh crores in lost output, lakhs of jobs and greater indebtedness .",No Pledge,58,INC,2019,0
"They are, in fact, responsible for the electoral growth of the BJP .",No Pledge,62,INC,2009,0
Involve the state Governments in the promotion of foreign trade and commerce .,No Pledge,92,BJP,2014,0
We will extensively use technology to ensure a better knowledge of the market prices of various agro - products for the benefit of farmers .,No Pledge,140,BJP,2019,0
We will also introduce a multi - purpose identity card for all citizens .,Pledge,144,BJP,1999,0
"It will enable industry to access agriculture produce directly from farmers, and suggest ways to step up exports, including to organized retail outlets abroad .",No Pledge,148,BJP,2004,0
This shall be responsible for setting and enforcing standards for all food products .,No Pledge,157,BJP,2004,0
a . We will ensure the passage of the Women’s Reservation Bill .,Pledge,160,INC,2014,0
11 . We will strengthen the legal and institutional framework to protect our children .,No Pledge,168,INC,2014,0
More specialist battalions will be raised and positioned in key locations across the country .,No Pledge,181,INC,2009,0
We will restrict foreign equity holding in private television broadcasting to 20% (and prevent cross holding to avoid emergence of monopolies in the media) .,Pledge,185,BJP,1999,0
"Along with vastly expanded credit facilities for self - employment, the services industry will be given all support to fulfill its true employment potential .",No Pledge,189,INC,2004,0
"India’s indigenous thorium technology programme will be expedited and given all financial assistance, correcting the grievous wrong done by the UPA Government .",Pledge,197,BJP,2009,0
"Immediately after forming the governments in Chhattisgarh, Madhya Pradesh and Rajasthan, as promised, the 3 Congress Governments waived the loans of farmers .",No Pledge,207,INC,2019,0
Small industry will be particularly encouraged in states and regions where the potential for large or heavy industry is limited .,No Pledge,212,INC,1999,0
"The Total Sanitation Campaign, launched by the NDA Government in 1999, has been a remarkable success .",No Pledge,218,BJP,2004,0
Targeting time spent for tax compliance at 1 hour per month .,Pledge,227,BJP,2019,0
Encouraging the production of cereals and discouraging the conversion of fertile farm land for dubious industrial projects .,No Pledge,228,BJP,2009,0
"The India of tomorrow will have 125 crore such dreams, and will be built on the same .",No Pledge,279,BJP,2014,0
Antyodaya cards for all households at risk of hunger will be introduced .,Pledge,287,INC,2004,0
The Indian National Congress has endeavoured to provide quality public health services to all citizens .,No Pledge,288,INC,2014,0
The Ministry of Finance will be directed to provide all required resources to implement this program in a time - bound manner .,No Pledge,323,BJP,2004,0
The emphasis in all foreign investment policies will be maximization of local value - addition and export potential .,No Pledge,331,INC,2009,0
"We will introduce the goods and services tax from April 1, 2010 .",Pledge,335,INC,2009,0
"Every consumer of electricity in India, including farmers, would be connected through digital, tamper - proof meters in the next three years .",Pledge,336,BJP,2004,0
"While the bulk of our population still lives and works in villages, India is rapidly urbanizing .",No Pledge,343,INC,2009,0
A raw material use policy will be unveiled in the mines sector .,No Pledge,370,BJP,2004,0
A detailed roadmap for accomplishing this will be unveiled within 30 days of coming to power so that a national consensus is also created .,No Pledge,398,INC,2004,0
Congress promises to work with industry to increase the expenditure on science and technology to 2 per cent of GDP .,Pledge,406,INC,2019,0
"New middle - level technical institutes in clusters where, for example, weavers and artisans are concentrated, will be started .",No Pledge,423,INC,1999,0
These institutions would provide four - year integrated courses that would set the standards for quality teachers in our schools .,No Pledge,469,BJP,2019,0
We will also motivate States to replicate this model as it is our firm belief that quality teachers lay the foundation of quality learning .,No Pledge,470,BJP,2019,0
"Highest priority would be given to address the acute shortage of teachers and researchers, quality of education and research, and also the employability factor associated with most of the courses .",No Pledge,490,BJP,2014,0
"A national programme will be launched, in cooperation with State Governments, to provide bicycles to girls from Below Poverty Line Families who attend school .",Pledge,502,BJP,2009,0
"Art, culture and heritage constitute the identity of a people .",No Pledge,515,INC,2019,0
We will recognise the 11 left out Indian Gorkha sub - tribes as Schedule Tribes .,Pledge,574,BJP,2019,0
"Make potable drinking water available to all thus reducing water - borne diseases, which will automatically translate into Diarrhoea - free India .",No Pledge,587,BJP,2014,0
Reservations for the poor among ‘Forward Classes’ will be introduced after receiving recommendations of the Commission set up for this purpose .,Pledge,604,BJP,2004,0
This will promote competition and enhance efficiency in procurement processes .,No Pledge,681,INC,2014,0
Article 370 poses a psychological barrier for the full integration of the people of Jammu & Kashmir with the national mainstream .,No Pledge,682,BJP,2009,0
"In consonance with its policy, the BJP supports the creation of Telangana as a separate State of the Union of India .",No Pledge,687,BJP,2009,0
The Congress will identify those environmental management functions that could be delegated to the states and local bodies .,Pledge,718,INC,1999,0
The number of courts and the number of judges will be doubled in five years for quicker judicial process .,Pledge,773,BJP,2004,0
"In the last 5 years under the BJP Government, hate crimes and atrocities against the minorities and other vulnerable sections of the people have increased manifold .",No Pledge,788,INC,2019,0
The Planning Commission will be reformed and reorganized in light of the changing developmental needs of our country .,No Pledge,799,BJP,2004,0
Joint projects in the energy sector will be actively explored .,No Pledge,938,INC,1999,0
"Our sports policy will aim to inculcate in our citizens, especially students and youth, the culture of sports and fitness and will encourage sports as a career .",No Pledge,1030,INC,2019,0
