uid	text	label	metadata__balanced_train	metadata__row_number
9847	# Solidarity for #WomensMarch from #Kamloops #BC #Canada https://t.co/CWrRqkPZ5u	1	0	9847
15769	#2020 Everything are women's issues! https://t.co/aRAeC2J1v7	1	0	15769
4646	#2022253121 #MichaelMoore  #WomensMarch RAISE YOUR VOICES IN UNISON!!!! #notmypresident #trump	1	1	4646
14500	#50ShadesOfGrey That's officially my retort with every women VICTIM that is vile and vulgar towards me bc I'm a man. #WomensMarch #50shades譲	0	1	14500
9262	#7in10forRoe #WomensMarch #womensrights #TheResistance Keep speaking out and calling out this admins bs policies on rights, ALL rights! https://t.co/1qS6b50D8o	1	0	9262
17855	#ADDHERNAME #StillWithHer The most admired woman for 15 years? https://t.co/71oXVeJrGS	1	0	17855
14405	#AMJoy @KellyannePolls Thought Experiment OR Gaslighting?  #AlternateFacts ...what!? #TheResistance #NotMyPresident #WomensMarch #WeWillRise https://t.co/46fSnLP1G5	1	0	14405
3059	#AMJoy I will think of this #WomensMarch when the few rights I'm allowed to express are rolled back.	1	0	3059
2896	#AMJoy Irony: #msnbc chooses a white male prayer attendance over a black woman show to #WomensMarch. Give her #greta spot already.	1	0	2896
4411	#AMJoy before Nov9 it was about the politicians. #WomensMarch was about the people. @ageekmom @plumpqtRN	1	0	4411
16697	#AccessibleOrganizingMeans places to sit down when you start to get tired. #WomensMarch	1	1	16697
12676	#AddHerName #ImWithHer \n\nIt's mind boggling why #HillaryClinton was left out out of @womensmarch. Clearly not an all hands on deck movement. https://t.co/uBjEq3VSSm	1	1	12676
3822	#AddHerName @lsarsour! @msladyjustice1 @TamikaDMallory  #AddHillary on Women Leader List-Dont Start #WomensMarch w/ Division! @TomDangora	1	0	3822
17813	#AddHerName @womensmarch At least attribute HER quote that you use as part of the guiding vision of the march. https://t.co/HFbwn0ct19	1	0	17813
9996	#AddHerName HRC has. Even our inspiration and leader. I march tomorrow in her honor. https://t.co/lnREGVCVbS	1	0	9996
6970	#AddHerName I support the march &amp; I'm marching but you should add HRC's name to list of honorees #WomensMarch	1	0	6970
11641	#AddHerName Shame on you @womensmarch https://t.co/R2hDcCivoZ via @HuffPostBlog	1	0	11641
6769	#AddHerName because the strength, courage, &amp; grace that she demonstrated inspired us &amp; made the @womensmarch possible #ThePeoplesPresident https://t.co/vEIwPbpu2a	1	0	6769
632	#AliciaKeys and #JanelleMonae spotted at the #WomensMarch! 📸: @kevinmazur https://t.co/yfOVh6WkkB	1	1	632
2026	#Amen were you able to March yesterday -LA #WomensMarch was brilliant inspiring #keephopealive https://t.co/o8TaXKuEET	1	0	2026
15423	#AntiInauguration schedule for @GhostlightProj @Concert4America @lessthanrent's #Sanctuary, @womensmarch\nhttps://t.co/pnew1n8rpX https://t.co/sZzP3yaxFp	1	0	15423
14973	#Ariana921 @921thebeat please ❤🙏 won't stop tweeting and praying 💪 #WomensMarch @ArianaGrande ❤	1	0	14973
39	#Asheville #WomensMarch 10,000 strong. population just 87k. #lovewins #ProudAmerican #notmypresident https://t.co/cmJyBqayDw	1	1	39
3339	#AshleyJudd didn't hold back with her speech at the #WomensMarchOnWashington. \n#ResistTrump \n#ResistFromDay1 https://t.co/O0oRyQ5tgr	1	0	3339
17456	#Auckland #NewSouthWales #Bangkok\n\n#WomensMarch Against @POTUS\n\nUnfollow @POTUS @VP @FLOTUS @KellyAnnePolls @WhiteHouse @MELANIATRUMP https://t.co/rh4Mj6lduA	1	0	17456
6569	#Austria #Vienna #Karlsplatz 21January #Noon\nGlobal Sister Marches @womensmarch https://t.co/EXtFets9Zx	1	0	6569
6385	#Auwcl alumni attending #WomensMarch 1/21 park free at Tenley and hop RedLine! Coffee from 7-9 Registration reqd at https://t.co/y1Lwe9WlvO https://t.co/iew6WQ0dBi	1	0	6385
18518	#BREAKING: #WomensMarch organizers announce they WILL march, despite massive crowds. Will use Constitution Ave to the White House Ellipse.	1	0	18518
4753	#BREXIT: RETARDS REACT #WomensMarch  https://t.co/MNf66Zek5u	0	1	4753
11616	#BigJoe teaching lesson to liberals on #WomensMarch #WomensMarchOnWashington https://t.co/hpaTAoO7Ew	0	1	11616
15491	#BlackLivesMatter #WomensMarch #whyIMarch #WomensMarchDC #nastywomen PUSSY POWER💅🏽💖 https://t.co/p311nB1t8h	1	1	15491
16867	#BobDylan  The Times They Are A Changin' 1964 https://t.co/OledzpsbiA via @YouTube #WomensMarch #WhyIMarch #Love #Equality #ProChoice #Women	1	0	16867
2598	#BuildBridgesNotWalls March, #CombatClimateChange March, #RefugeesWelcome March, #LGBTQIA March. 4yrs &amp;many Marches to come!!! #WomensMarch	1	0	2598
10483	#CNN #GOP The only thing #Trump is good at is making other people pay for his mistakes #Maddow #WomensMarch  #msnbc #StandWithJohnLewis https://t.co/7uCyt2r7Y5	1	0	10483
17405	#CNN got 8 suited dicks to discuss the #womensmarch like how fam how , what could they possibly be theory crafting ? https://t.co/ikSlq0t6X5	1	0	17405
9980	#CT showing up in #Hartford. We're a small but mighty state &amp; \still revolutionary.\ #WomensMarch https://t.co/i4comcaxbb	1	0	9980
8842	#Canada apologizes for having such a peaceful #WomensMarch	1	0	8842
1753	#Caring — #mattering — is the motive force of the Internet. Thats why things like\n\n#Selfies\n#Snapchat\n#WomensMarch\n#Obama\n\nAre taking over.😜	1	0	1753
9879	#CharityBeginsAtHome #ResistPatriarchy .@AsraNomani Today's unity march was transformative. Soros $s or not. #NoArrests vs. 20Jan17 https://t.co/bTdA0jkgo1	0	1	9879
17988	#CharlesBrotman is adorable! Proud to be a Charlie's Angel! #womensmarch	1	0	17988
14795	#CitizensUnited anniversary, weekend after #MLKDAY, democracy teach-in following the #WomensMarch. RSVP: https://t.co/2Sv7P3gLhr #WeRise https://t.co/Nk0VdGqEBA	1	0	14795
10221	#Cleveland police report 15k people for the #WomensMarch Nice job ladies. #WomensMarchCleveland https://t.co/lDEmSrEldm	1	0	10221
14522	#Consider how awesome! https://t.co/CXjWSNVKey	1	0	14522
18414	#CountingTheWomensMarch\nUse this form to add your city:\n@ThePlumLineGS @TUSK81 @TUSK81 @joshgreenman @MattGertz @HeerJeet @hollybdc https://t.co/sTV3GVGRcD	1	0	18414
17355	#DCMetro Reports Second-Highest Ridership Ever On #WomenSMarch Day https://t.co/fjK7MQNYEp https://t.co/o7wj0cUiWq	1	0	17355
5834	#DEMOCRACY \nALSO\nLOOKS \nAND \nSOUNDS\nLIKE\nTHIS.\n#WomensMarchOnWashington #WomensMarch \n#WeStandTogether \n✊✊🏻✊🏼✊🏽✊🏾✊🏿\n https://t.co/Ekkt2LR2dz	1	0	5834
7252	#DIGITAL: 5+ Budget-Friendly Ways to Improve Website Traffic... https://t.co/VNnBU5eSRx… #MyExAndWhysTrailer #iHeartsAwards #WomensMarch https://t.co/k7fqJi07XJ	1	0	7252
12697	#DYK events where women outnumber men require more restrooms? Good thing we have hundreds of units ready for today’s #WomensMarch!	1	0	12697
18277	#DakotaJohnson participated in #WomensMarch in LA yesterday with @blakeleeblake @ChaseCohl @Addijay for #WomensmarchLA @womensmarch https://t.co/SDFiA0zz68	1	1	18277
1104	#DamnStraight I vehemently support the #WomensMarch https://t.co/VSifzYyi3u	1	1	1104
11765	#Decipher #enjoy &amp; #circulate #surprising #preferred #scoop in '150 Subjects-Views Yet Lone Author' https://t.co/vWBdfHMvlY #womensmarch	1	1	11765
1268	#Denton women getting stuff done ain't new, it's a tradition. Story at @WeDentonDoIt #WomensMarch https://t.co/KiTYhgQX4I	1	0	1268
9903	#Denver #WomensMarch \ntrump for prison! https://t.co/6dtVU51lQG	1	0	9903
14261	#Denver y'all #policepussyhat #WomensMarch https://t.co/HSZNebgrLj	1	0	14261
17232	#DontSnoozeOnClues #Repost womensmarch with @repostapp\n・・・\nEven our kids stay woke! #womensmarch… https://t.co/ezpNtZnRjq	1	0	17232
8322	#FAKEWomensMarch where #feminists protest Trump, but not Islamic 👉slavery, stonings, bombings, car ramming, rape, beheadings! #WomensMarch	0	1	8322
14351	#FF.@MENofWM:\We are men that stand in solidarity with the women in our lives..\\npic-h/t-@sherrifflucy \n#WomensMarch https://t.co/7ViXtTP1Gd	1	0	14351
5829	#FNS Brave Individual Marches alone in Response 2Pink Pusey #womensmarch and says his FACEBOOK PAGE is on fire with Matrimonial Proposals. https://t.co/gDrBQBV5RC	1	1	5829
8497	#Feminism isn't about putting others down,silencing voices. If you march for women, march for all women #WomensMarch https://t.co/gq0LSXVBK2	1	0	8497
18606	#FeministToDoList\n1. Listen to Madonna's speech.\n2. Swear to NEVER attend another #WomensMarch ever again. Ever.	1	0	18606
16467	#FeministToDoList  Crazy women want this shit. #Libtards #womensrightsarehumanrights #WomensMarch #MAGA #TrumpTrain https://t.co/ITAYcHS17S	0	1	16467
16810	#FeministToDoList #WomensMarch This crap you left behind is why you're nasty- environmentalists NOT, hypocrites all\nhttps://t.co/Zzt0v0gJhX	0	1	16810
16403	#FeministToDoList #WomensMarch Trump &amp; friends are trying to RUSH confirmation of cabinet through. WHY??? Need thorough vetting\nCall! Share https://t.co/prchfCc8qn	1	0	16403
9414	#FeministToDoList Write Respectful Letters to your Senator to voice your concerns &amp; opinions @POTUS https://t.co/eswEkiwFVM	1	0	9414
2870	#Filipinos join women's march against Trump https://t.co/flePc8XUtA #WomensMarch #AgainstTrump #America #UnitedStates #filipinoamericans	1	1	2870
18231	#FreeMelania! She just wanted a sugar daddy that's it! Tehehehe #WomensMarch #WomensMarchOakland… https://t.co/fvLXWemuZD	1	1	18231
14723	#Freemasonry in all its wanky forms is real war on women. (It's all about their penis, so no surprise there.) #StopTheWarOnWomenAndChildren https://t.co/cTvcXVVBmE	1	1	14723
12434	#GMA #Trump aide #ReincePriebus warns ethics chief to 'be careful' #MLKDAY #blacklivesmatter #1uMLK #WomensMarch https://t.co/nxw2qyWo2E	1	1	12434
3178	#GOPMisogyny huge part of #Trump campaign. https://t.co/9k6HjMaM1M	1	0	3178
