uid	text	label	metadata__row_number
3387	#ConfirmKavanaugh #ConfirmBrettKavanaugh #Kavanaugh #Trump #MAGA2018 #MAGA #KAG we are going to confirm Brett Kavanaugh or vote in new senators #elections2018 #ElectionDay	1	3387
1228	#CrazyDemocrats want to ruin a qualified, wonderful man for their political hate. #VoteRed  #ConfirmKavanaugh   Democrats float more Kavanaugh investigations, impeachment even if he is confirmed  https://t.co/HcZ59JaTEi	1	1228
1134	#GarrettVentry Spokesman for ⁦@GOP⁩ on Kavanaugh nomination resigns; has been accused of harassment in the past - NBC News https://t.co/rA905fv2lL	0	1134
751	#Kavanaugh Repubs have moved fr he didn't do it, mistaken identity, rough play to \so what, we're appointing him anyway.\ Repubs have no morals, respect for women or the law. They support party, that's it. Well, we gotta vote'em out. If not, the country \as we knew it,\ is over.	0	751
3470	#Kavanaugh: attys for Dr. Ford 'accept' invite to testify next week, by email 2:33 PM ET, ask to complete negotiations; @vanitaguptaCR: \Dr. Blasey Ford has courageously agreed to publicly testify ... despite the relentless bullying and personal attacks from Republican senators\""""	0	3470
1574	#StopKavanaugh #MeToo #Kavanaugh #GrabYourWallet tell these corporations that #Kavanaugh is a horrible choice for #SCOTUS We must #StopKavaanaugh #MeToo https://t.co/ENKsyRBXHb	0	1574
3057	#lelandkeyser look her up #Kavanaugh #IStandWithChristineBlaseyFord #IStandWithKavanaugh	0	3057
551	&amp; please holler the facts about Kavanaugh LYING to congress, as proven by e-mails.  -&amp; holler that caught lying to the congress is a no-go in any confirmation process. -&amp; continue to holler that Grassley's attempts to ram this nominee through without due process is unacceptable.	0	551
463	'Flee the country'? WaPo report about Christine Blasey Ford's trauma over Kavanaugh (AND Trump) dials it up a notch https://t.co/G0DyQuswZG	0	463
633	'He's a Liar': Watters Rips RI Sen. Whitehouse for Saying GOP Doesn't Want to Properly Probe Kavanaugh Claims. https://t.co/1U8rNrMuAZ Crybaby Democrats will lose midterm MASA MAGA	1	633
2145	. @senwhitehouse - we Americans note your threat to launch investigations of KAVANAUGH after he is confirmed and dems regain house and senate! What but cowardice keeps you from calling for an investigation NOW of his accuser? Are you overlooking the probability she's lying?. @DNC	1	2145
854	.@AnnCoulter is a lousy judge of character. There will be far more Americans who will #VoteBlue2018 if Kavanaugh is confirmed than if he isn't. #WhyIDidntReport #respectwomen https://t.co/grw31pmhFq	0	854
1559	.@ChuckGrassley .@SenateMajLdr .@realDonaldTrump .@parscale   This true, if you don't #TakeTheVote to confirm Kavanaugh the Republicans are done for. https://t.co/Ur2ZOk5Yqt	1	1559
903	@3parenthesescat I don't think the majority of citizens are  aware of the repercussions of appointing Kavanaugh. And if they are they seem to be very apathetic. Just from my perception of reading Twitter. Yes there are some but jeesh easily distracted. Also I don't know what happened but miss you	0	903
2341	@ANTITRUMPMVMT They should also worry that #Kavanaugh could drive suburban women, and others, to the midterms.	0	2341
3409	@AriFleischer @awstar11 I’m quite sure every Senator has already made up their mind. In fact I’m willing to bet the Democrats made their minds up the minute the name “Kavanaugh “left Trump’s mouth.	1	3409
3414	@B52Malmet I don’t want kavanaugh seated because of his behavior. I want someone who does not need to lie abt who they are. @ChuckGrassley @lisamurkowski @SenatorCollins @SenFeinstein @SenBooker I am done with games. Honest leadership, please.	0	3414
1072	@BBCBreaking The woman who suddenly remembered that 34 years ago when she was 15, a 17 year old touched her boobie and now she's traumatized because he's nominated for the supreme court. Ridiculous.	1	1072
2502	@BreitbartNews There is nothing to investigate. The FBI investigates federal crimes. This was not a crime. Did she go and leave the party? Did she make a police report? Did she tell her parents? Did they talk to the Kavanaugh family? If all these answers are no then WHY.	1	2502
2650	@BretBaier Who’s Bullying! @SenFeinstein @NJSenatorBooker @SenatorCaveman @BarackObama Anyone who casts Guilt or Innocence on Ford or Kavanaugh until she shows up and testifies carries Absolutely No CLOUT! No show Then VOTE! 🇺🇸	1	2650
3340	@BrettKavanaugh @realDonaldTrump @ChuckGrassley Wonderful! Judge Kavanaugh should do the same!  Jury orders woman to pay Army colonel she accused of rape $8.4million  https://t.co/sAIMXgr7Pb via @MailOnline	0	3340
1588	@BuckSexton They are trying to castrate Kavanaugh the way they did Clarence Thomas so that, even if he does get the appointment, he’ll be afraid to take a stand in anything.	1	1588
3101	@CNN .Pro-sexual assault Women Defend Brett Kavanaugh to CNN: 'She's Also Destroying His Life' -- “If the person made a mistake and they move on, and they have been a good human being, you know, who are we to ***supreme judge?”*** https://t.co/9bYna540cH via @BreitbartNews	1	3101
146	@CNN Why don't you dumb bells at CNN loop those 'random' female republican operatives talking about Kavanaugh some more. That was some real lousy journalism y'all are running there. Shame on you. For those unaware see @realshawnbrandt thread on who those women are.	0	146
3569	@CabariK We can examine it hypothetically right now.  Read my full thread if you have the time.  Admittedly, I believe Kavanaugh is innocent, but I did not call Ford a liar.  My thread was intended to examine the Moral Hazard underpinning the #Metoo movement.	1	3569
