pair_id	text1_id	text2_id	text1	text2	label	metadata__intercoder	metadata__comparison	metadata__intensity1	metadata__intensity1_num	metadata__intensity2	metadata__intensity2_num
03d99bf9d3de00bd8fc2534a8f846882	a0cb6dfc4d341be336265beddf2dd921	63054fe83c288894043d98fdc6e3097e	The people of France and the Netherlands voted against the EU constitution, which as the former Irish Taoiseach, Bertie Ahern, acknowledged was 90 per cent. the same as the treaty of Lisbon, so in fact 21 million people have voted in referendums against the European constitution and the treaty of Lisbon, which is the constitution by another name.	I echo warmly the call of my hon  Friend  the Member for Croydon Central    for a debate on the opportunities afforded by academies, focusing particularly on the benefit of vertical integration between primary and secondary academies.	text1	TRUE	1	NA	NA	2	2
04d96524de368d30d299ac43725743a7	3570c59b0f16e22eb748221ef772dea8	2ad1cbd492f1ef72f14c44c9ce0e2947	Some felt that it was the right move in the war on terrorism; some wanted Saddam to be removed to liberate the Iraqi people; some thought that the preservation of a North Atlantic alliance was paramount; some simply backed the Prime Minister out of loyalty, regardless of their views on Iraq.	If the Minister reassures us that amendment No. 95 does not lead us in that direction, members of the water group and many Opposition Members can return to their constituents and say that the pressure that they have put on the Government against compulsory metering has at last been recognised in amendment No. 95 and that responsibility for conservation will not be at the expense of extra costs on domestic households, who need adequate water supplies.	text2	FALSE	-1	NA	NA	4	4
058c1dd920ac32773f62b68335af4bd8	fc17d15881845f2e0770f0c93625298f	8552f3ca161e9bf7af12a9b150d468a1	That is what we stand for and that is what this House stands for.	It is unique because it deals with a unique agreement that was reached to deal with unique circumstances that have culminated in 28 years of almost unremitting violence.	text2	FALSE	-1	1	1	NA	NA
0602e93f0aa7ddb67231972877c47de6	2ccc1ef2771de51f613a9cd9e2894e65	3ca16a933188d5ecebbb6db8e5c32b22	Continental suppliers buy gas from our market when they need it but they do not always sell it back to us when we need it.	Therefore, it would be much better to have a sensible discussion about how we bring into the public domain as much information as possible-within the purview of those serious case reviews-and then the findings.	text2	FALSE	-1	1	1	5	5
087bb44b86ba662fc2d0dbdba877b945	d9f8261ac187dc309418512ca23d527a	f68987e78cd511692597d22b6944cc7b	The world has moved on since 2005 and the Conservative party has moved with it.	On Monday, I sat on this Bench from 2.30 until the vote at 10 o'clock and each time I rose to catch the eye of the Chair I was unsuccessful.	same	FALSE	0	1	1	2	2
0a179f3de7b7b28cc95e49a008afa72f	5ee3aa66411bdb0d5d6cb3ca8550193c	671a795bd96b2be577df4a31bd2e69b3	What does he say to chief constables, including the new Commissioner of the Met, who have asked for additional resources, who have had only some of their requests met by last week's announcement, and who will say that, unless they see the numbers going up to the figures they want, the Government cannot expect the crime figures to go down to the targets that they are setting them?	I know that he will not be in his post for too long because we shall be on that side of the House.	text1	FALSE	1	3	3	1	1
0c88e703455678cc9ebcb2a0866c6a51	e5ac0304ab31c73653edf93a27771f60	9aa39767d70708c3898ed8626f1759dc	We had the assets, we could go to the City and borrow from the City.	As a Liberal Democrat member of the coalition, I welcome the fact that that idea, which was on the front page of our manifesto, has become the centrepiece of the coalition's tax reform agenda and has been translated into action that will make a real difference to my constituents, giving them £705 tax back in their pockets to spend on the things that they want to spend it on.	text2	FALSE	-1	1	1	3	3
0e6881a32e24db1907078fb1a7873e78	6943a581149543ad7cde10df24eab0ab	185d58111850afee4f697aa4d7ed9b93	Although it is right to finance some new roads through private sector investment and acceptable to ask motorists to contribute to costs through tolls, the extra costs should be directly related to new capacity, and should not be accompanied by further increases to the tax burden - the threatened 2p duty increase in the autumn is wholly unjustified at a time of high and volatile oil prices.	We made a start on Ebbsfleet garden city and got rid of 1,000 pages of planning guidance.	text1	FALSE	1	3	3	1	1
199a579eadb8327c0e17cd361018bb7f	488efd7d5543b26dedc8383c58393ca7	21e73a4d0991a8ccf618ba329c90133f	How can he reach conclusions on a business when he does not know the cost of providing the service?	I know that every single recipient of Government funding would like to be able to say that, but I hope there is no dispute that when we are dealing with the fundamental issues of national security, if the threat were to change in a material way, it would not be acceptable to say that those resources could not be reviewed by a Government because that might in some way contradict public expenditure decisions.	text2	FALSE	-1	2	2	4	4
1bdffed70f52c0d479446aeede0fac9f	c727ce92f7ffcd9abdf07e7c15913cd6	f41f6f47bd9d2b65ff0f6421513503b5	We are not giving the Executive powers to ban the publication of particular material; we are making sure that the best standards of self-regulation are applied.	There will be a great deal of agreement, not just among those who do not have opportunity, but even among those who are perfectly well off, that if we do not tackle the problems of a growing underclass of people cut off from society's mainstream without any chance of a job, with poor educational opportunities, without the chance to do well in life, we shall end up, as the previous Government did, paying more and more in welfare bills and having less and less for future investment.	text2	FALSE	-1	2	2	NA	NA
1c78f01f1be9b2a5c228a257ee96e6e7	5ac99f145809fb9c99b3f437ec8f9730	b953aa179ae2db4d6b7599c297cfec60	As I interpret it, amendment No. 45 specifies that functions may be transferred to the Welsh assembly only as far as they are exercisable by the Secretary of State - as opposed to functions of Ministers as far as exercisable in relation to Wales, as the Bill states.	It is a notable feature of the EU negotiations in which the Government are involved at this moment that, although the rights of EU citizens in this country now seem to be protected, British citizens living in other EU countries will have inferior rights because those rights will exist only in the countries where they are currently resident; the rights will not be passportable because those people will lose the right to freedom of movement between other EU countries.	text2	FALSE	-1	NA	NA	NA	NA
1ef55fe365b7982a6135cdedf9123d5a	364e438da33811e1c295e1b9375219da	89fd1a799c72f2cd630c01a1961b5a47	Given the provisional findings of the district auditor with regard to Westminster city council last week, the allegations about Wandsworth and, for that matter, the findings with regard to Tameside, will the   Solicitor-General undertake that it will be a priority for his Department to investigate whether, in addition to any breach of the law that is currently being investigated by the auditor, there has been a criminal conspiracy in any of those places wrongly to spend public money for party political ends?	I have talked to dentists and others and they have said they do not think that there is any harm in fluoridation, and that it is quite a sensible idea because it stops tooth decay and so on, but one lady said to me, not so very long ago, that while she herself did not believe that it did any harm, it was completely wrong for an unelected quango, appointed by the Ministry, to tell people what they should and should not drink.	text1	FALSE	1	4	4	3	3
21701afa27ae2bb56ac66ecf6a212bad	03a715839820e7714f09bb5566ad0e86	2fbec72141d02f6576be656958ea3843	Will the right hon  Gentleman arrange time for the House to debate the suitability, or otherwise, of the well known Australian property developer and pop impresario Lord Levy - who masquerades as the Government's envoy to the middle east and who caused the right hon  Gentleman such trouble by meddling in the middle east during the period when he was a distinguished Foreign Secretary - to continue in that role without being in any way accountable to Parliament at one of the most difficult and serious passages of international affairs for many years?	They will use it for pragmatic reasons and to get the information they need, and teachers will have to catch up.	text1	FALSE	1	4	4	1	1
221a0a0c4a19326dab4b77cd16e2025b	ab1fe673afda8759f11dc11bbffc0341	ef24660eda0c303266535452793fe4f9	It is very important to stress, however, that, as guidance provided by the Department of Health and the General Medical Council makes clear, patient confidentiality can and should be overridden to prevent significant harm either to themselves or to others.	I have been told that the new Minister, who is currently leaning backwards over the Front Bench, is a good guy, that he will be all right and that he can be relied on.	text1	FALSE	1	2	2	1	1
23ad88c202b2fa3dc66763d71249d209	3d820ec340e2feefc701bffc9ff33b24	f43a76d877f8ebe4ff11bb5c1e67c5d0	I will conclude by saying that, subject to the kind of constraint that would be put in place if amendment 7 were incorporated into the Bill, we remain of the view that the power to appoint an exit day for the purposes of the Bill should be placed in the hands of Parliament, not Ministers, and also that the flexibility inherent in clause 14 with regard to exit day should be retained, because it is essential to finalising in some scenarios a withdrawal agreement and any transitional arrangements that need to be agreed to.	There was a working party report into large-scale disasters and inquests, which recommended significant changes, including a change whereby if there were, God forbid, a disaster of a similar scale and nature in the future, there would be one inquiry similar to that conducted by the late Lord Justice Taylor, which would be the general public inquiry and also take the form of an inquest, so that the relatives would be spared going through the agony caused by two separate inquiries.	text2	TRUE	-1	NA	NA	5	5
