text_id,text,label,metadata__party,metadata__year,split_
164,"Mahila Sashaktikaran, to provide for the political empowerment and full educational, economic and legal equality for women ;",0,INC,2004,1
761,We will : set up Gas Grids to make gas available to households and industry .,1,BJP,2014,1
156,For reaching this goal we will take effective steps to create a riot - free order and a terrorism - free India .,1,BJP,1999,1
276,We will take the Mission to a new level through sustainable Solid Waste Management in every village .,1,BJP,2019,1
241,All controls on the free movement of farm commodities and processing of agricultural products and all regulations that depress incomes of farmers will be systematically eliminated .,0,INC,2009,1
627,The Court of Appeal will sit in multiple Benches of 3 judges each in 6 locations .,1,INC,2019,1
147,4 . We will provide skills training to 10 crore youth and provide them with employment opportunities over the next 5 years .,1,INC,2014,1
566,The Indian National Congress is committed to ensuring these projects are completed in a time - bound manner .,1,INC,2014,1
682,All efforts will be made for the eradication of filariasis within five years .,1,BJP,2004,1
780,"On the other side is an ideology of hate, bigotry and prejudice, an ideology that negates the very idea of India that has been cherished by us for centuries .",0,INC,2014,1
228,A wider and more comprehensive spectrum of skills will be imparted .,0,INC,2009,1
50,"For this, the government shall introduce time - bound programmes of needed administrative reforms including those for the Police and other Civil Services .",0,BJP,1999,1
184,We will also enact a comprehensive Broadcasting Bill to regulate private broadcasting and to protect Indian interests .,1,BJP,1999,1
315,"An initial set of identified schemes will be implemented, with public participation, by 2015 .",0,BJP,2004,1
360,The Indian National Congress has declared the sacred Ganga as a “national river” .,0,INC,2009,1
1,A time to reestablish the core values that have made India unique .,0,INC,2004,1
255,National scholarships for boys and girls belonging to scheduled castes and scheduled tribes will be further increased .,1,INC,2009,1
442,"More funds will be allocated to sports, and we will encourage the State Governments to fully discharge their responsibility in the promotion of sports .",1,BJP,2014,1
220,"Like it did for panchayats, the Congress will bring forward a Constitutional amendment to ensure the democratic, autonomous and professional functioning of all cooperatives .",1,INC,2004,1
333,"After agriculture, the retail sector is the largest employer of nearly four crore people .",0,BJP,2009,1
425,"Key leverage technologies such as information technology, biotechnology and materials science and technology would be given special importance .",0,BJP,2009,1
996,"We will implement a solid waste management plan in every habitation, village, town and city employing modern technology and machinery .",0,INC,2019,1
57,It means that we will facilitate the domestic industry to gain enough muscles to compete with the multinationals in the local and global markets .,0,BJP,1999,1
348,"A new national movement for sanitation and hygiene, along the lines launched by Gandhijl during the Freedom movement will now be started and spearheaded by the Congress .",1,INC,1999,1
219,It also pledges a major programme for training of teachers and improving the physical environment in schools .,1,INC,2009,1
203,We appeal for the cooperation of all parties and all sections of society in this great endeavour .,0,BJP,1999,1
290,"New international airport projects for Delhi, Mumbai, Bangalore and Hyderabad will be completed within the next three to four years and the Prime Minister will inaugurate them before August 15, 2008 .",1,BJP,2004,1
146,"We will enact the Lok Pal Bill with adequate powers to deal with corruption charges against anyone, including the Prime Minister .",1,BJP,1999,1
60,Our target is to achieve at least $10 billion per year which will commensurate with our growth objectives .,1,BJP,1999,1
112,The rate of both public and private investment has declined over the period that the BJP - led NDA government has been in office .,0,INC,2004,1
145,We will undertake all necessary legislative and administrative measures to ensure the right of franchise of the Armed Forces through proxy voting and or any other method .,1,BJP,1999,1
758,"However, they have been facing many problems with rapid urbanization and changes in the traditional joint families .",0,BJP,2004,1
697,We will amend the Service Rules to reserve for women 33 per cent of appointments to posts in the Central Government .,1,INC,2019,1
433,"Space research, peaceful uses of nuclear energy, and civilian applications of defense research will be further promoted, building on India’s self - reliant strides in these areas .",0,BJP,2004,1
262,Congress reiterates its firm belief in a high rate of growth of GDP .,0,INC,2019,1
270,This must be reinforced by other programmes for the development and diversification of the rural economy .,0,INC,1999,1
583,"We will ensure a 'Swachh Bharat' by Gandhiji's 150th birth anniversary in 2019, taking it up in mission mode by converging resources and building around jan bhagidari :",1,BJP,2014,1
278,The Indian National Congress also proposes to reserve one - third of all central government jobs for women .,1,INC,2009,1
346,One of the main reasons for this is the absence of proper urban and rural sanitation and poor liquid and solid waste management .,0,INC,1999,1
275,"We have constructed over 9 crore toilets under our flagship programme, Swachh Bharat Mission .",1,BJP,2019,1
175,Fiscal incentives to promote employment - intensive growth will be introduced .,0,INC,2004,1
166,"We are committed to establishing a civilised, humane and just civil order ; that which does not discriminate on ground — of caste, religion, class, colour, race or sex .",0,BJP,1999,1
46,It is the Congress that began the process of extending social security to the 93 per cent work force that subsists In the unorganized sector .,0,INC,2004,1
252,Exempt income up to Rs 3 lakh from Income Tax .,1,BJP,2009,1
308,"We will further encourage integrated development of coastal areas including coastal cities, coastal transport and coastal industrialization .",0,BJP,2019,1
12,"The Indian National Congress is the only party that combines experience and youth, wisdom and exuberance, achievement and ambition .",0,INC,2009,1
119,"Congress promises an adequately capitalised Tourism Development Bank to provide low - cost, long - term funds for investment in tourism - related businesses .",1,INC,2019,1
417,The Indian National Congress also acknowledges the vital role remittances by overseas Indians play in bolstering the country’s finances .,0,INC,2009,1
59,"At the same time the country cannot do without FDI because besides capital stock it brings with it technology, new market practices and most importantly employment .",1,BJP,1999,1
244,"New godowns, storage facilities, cold storage nehvorks and access roads will get priority .",1,INC,1999,1
