text_id,text,party,cap_topic,cluster,membership_strength,display_x,display_y
48356,I suspect that the same would not be true if the Chinooks descended upon my hon.,Con,16,0,1.0,6.231157,-0.32418755
79956,I should be delighted to send the hon.,Lab,10,0,0.6527858264241444,6.5528994,-0.2770989
161430,"It is for that reason that I hope Members will wholeheartedly give the Bill a Third Reading, and I commend it to the House.",Lab,3,13,0.9702826708321818,9.247151,-1.0853982
206618,Member for Sevenoaks (Mr. Fallon) made his usual robust speech.,Lab,99,15,1.0,7.9194155,-1.2751119
234218,"I missed some of the speeches that followed the opening of the debate, but I am afraid that I was receiving the award of an Industry and Parliament Trust fellowship- I am grateful for the approbation of the House, and I commend the organisation heartily.",Con,99,-1,0.0,8.535123,-1.6708077
267318,The definition of an offence“of a violent or sexual nature”may be too vague.,Lab,12,11,1.0,9.788443,-3.011519
305800,My hon.,Lab,99,0,1.0,6.1909256,-0.18042693
314369,"Obviously, the inquiry will look at the events from 2001 onwards.",Lab,19,-1,0.0,9.496302,-1.5241781
319219,Will the hon.,Con,99,0,1.0,6.1462345,-0.32806206
319659,"Members read the speeches of Václav Klaus of the Czech Republic, they will see that he speaks exactly the same language.",Con,19,9,0.6658134128668698,10.003819,0.4216554
387222,The Member for Huntingdon (Mr. Djanogly) raised a few canards earlier.,Lab,20,16,1.0,7.8617005,-3.3703945
409199,Member for Canterbury (Mr. Brazier) is one of the hon.,LibDem,99,16,1.0,8.039806,-3.3094661
464270,The hon.,Lab,99,0,1.0,6.1295047,-0.38080004
527253,"I will, but only this once.",Lab,19,-1,0.0,7.9396644,-0.74588794
592796,I told John Humphrys-I think that was the interviewer-that I had some sympathy with the report's logic.,Lab,12,-1,0.0,8.385859,-1.743502
640517,That was a little aside.,Con,99,13,1.0,8.080325,-0.0918114
666543,As the hon.,Lab,99,0,1.0,6.181823,-0.28594497
673041,Does the hon.,Con,99,0,1.0,6.113748,-0.33753127
703976,Far be it from us in the House of Commons to challenge the wisdom of magical software-even though I spent 20 years in the industry!,Con,14,13,1.0,11.041665,-1.8227372
707965,If the hon.,LibDem,99,0,1.0,6.1643357,-0.27134463
730423,Pitiful.,Con,99,0,0.22787720986440788,7.2736435,0.06372062
842143,Members.,LibDem,99,15,1.0,8.170419,-1.2571266
989800,"I know that Labour Members do not like the answer that we are sticking to our plans, but we are sticking to our plans.",Con,99,-1,0.0,11.247188,-1.9786304
1002569,"Once again, I congratulate the hon.",Con,99,0,0.6427862206789312,6.685129,-0.3560634
